,date_time,F_actual,OPmode,OPstate,RPM_actual,currenttoolnum,cuttingTime,cycletime,executionFlag,feedF,feedratio,inspectionData,line_name,machine_num,operatingTime,poweronTime,shop_name,spindle_load,spindle_temp,spindleratio,tool_current_life_01,tool_current_life_02,tool_current_life_03,tool_current_life_04,tool_current_life_05,tool_current_life_11,tool_current_life_12,tool_current_life_13,tool_current_life_14,tool_current_life_15,tool_preset_life_01,tool_preset_life_02,tool_preset_life_03,tool_preset_life_04,tool_preset_life_05,tool_preset_life_11,tool_preset_life_12,tool_preset_life_13,tool_preset_life_14,tool_preset_life_15,workcount,x_pos,y_pos,z_pos
137,20191027053010.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406288.0,-255228.0,-204553.0
138,20191027053010.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
139,20191027053010.864,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,20191027053010.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
141,20191027053010.895,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
142,20191027053010.910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
143,20191027053010.942,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,20191027053010.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
145,20191027053010.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406286.0,-244028.0,-204553.0
146,20191027053011.004,,,,,,,,,,,,,,,,,,,,275.0,,,,,,,,,,,,,,,,,,,,,,,
147,20191027053011.020,,,,,,,,,,,,,,,,,,,,,274.0,,,,,,,,,,,,,,,,,,,,,,
148,20191027053011.051,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,20191027053011.067,,,,,,,,,,,,,,,,,,,,,,274.0,,,,,,,,,,,,,,,,,,,,,
150,20191027053011.082,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
151,20191027053011.114,,,,,,,,,,,,,,,,,,,,,,,274.0,,,,,,,,,,,,,,,,,,,,
152,20191027053011.129,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,20191027053011.145,,,,,,,,,,,,,,,,,,,,,,,,274.0,,,,,,,,,,,,,,,,,,,
154,20191027053011.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406285.0,-236028.0,-204553.0
155,20191027053011.207,,,,,,,,,,,,,,,,,,,,,,,,,274.0,,,,,,,,,,,,,,,,,,
156,20191027053011.254,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,20191027053011.270,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
158,20191027053011.285,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
159,20191027053011.332,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
160,20191027053011.348,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,20191027053011.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
162,20191027053011.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406283.0,-224828.0,-204553.0
163,20191027053011.426,,,,,,,,,,,,,D09,,,C04,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
164,20191027053011.457,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,20191027053011.489,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,20191027053011.504,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
167,20191027053011.520,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,
168,20191027053011.582,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,20191027053011.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406281.0,-213628.0,-204553.0
170,20191027053011.645,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,20191027053011.660,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
172,20191027053011.676,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,20191027053011.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406280.0,-208828.0,-204553.0
174,20191027053011.770,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,20191027053011.785,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
176,20191027053011.801,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,20191027053011.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406279.0,-202428.0,-204553.0
178,20191027053011.879,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,20191027053011.895,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
180,20191027053011.910,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,20191027053011.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406278.0,-196028.0,-204553.0
182,20191027053012.020,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,20191027053012.051,,,,4997.0,,,,,,2606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,20191027053012.082,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
185,20191027053012.098,2606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,20191027053012.114,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,20191027053012.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405129.0,-186745.0,-204553.0
188,20191027053012.207,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,20191027053012.239,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,20191027053012.270,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
191,20191027053012.301,,,,,,,,,,,,,,14567656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,20191027053012.332,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,20191027053012.348,,,,,,,,,,,,,,,80112600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,20191027053012.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406473.0,-179892.0,-204553.0
195,20191027053012.426,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,20191027053012.473,,,,,,21908557.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,20191027053012.489,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
198,20191027053012.520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16797.0,,,
199,20191027053012.535,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,20191027053012.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,,,,,,,,,,,,,
201,20191027053012.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406629.0,-170235.0,-204553.0
202,20191027053012.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,
203,20191027053012.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,
204,20191027053012.723,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,20191027053012.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,
206,20191027053012.770,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
207,20191027053012.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,
208,20191027053012.817,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,20191027053012.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,,,,,,,
210,20191027053012.910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406624.0,-155835.0,-204553.0
211,20191027053012.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
